index,team_name,team_name_abb,match_date,vs_or_at,opp_team_abb,opp_team_img_url,finished,w_or_l,score_team,score_opp,league
0,barcelona,BAR,8/31,AT,OSA,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/copa-rey/6175.vresize.36.36.medium.0.png,True,D,2,2,La Liga
1,barcelona,BAR,9/14,VS,VAL,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/la-liga/retina/6169.vresize.36.36.medium.0.png,True,W,5,2,La Liga
2,barcelona,BAR,9/17,AT,DOR,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/6122.vresize.36.36.medium.0.png,True,D,0,0,UCL
3,barcelona,BAR,9/21,AT,GRA,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/la-liga/retina/23420.vresize.36.36.medium.0.png,True,L,0,2,La Liga
4,barcelona,BAR,9/24,VS,VIL,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/la-liga/retina/6170.vresize.36.36.medium.0.png,True,W,2,1,La Liga
5,barcelona,BAR,9/28,AT,GET,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/la-liga/retina/6174.vresize.36.36.medium.0.png,False,,,,La Liga
6,barcelona,BAR,10/2,VS,INT,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/6391.vresize.36.36.medium.0.png,False,,,,UCL
7,barcelona,BAR,10/6,VS,SEV,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/la-liga/retina/6167.vresize.36.36.medium.0.png,False,,,,La Liga
8,barcelona,BAR,10/19,AT,EIB,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/la-liga/retina/8319.vresize.36.36.medium.0.png,False,,,,La Liga
9,barcelona,BAR,10/23,AT,SLP,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/ucl/7499.vresize.36.36.medium.0.png,False,,,,UCL
10,barcelona,BAR,10/27,VS,RMD,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/la-liga/retina/6171.vresize.36.36.medium.0.png,False,,,,La Liga
11,barcelona,BAR,10/30,VS,VLD,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/la-liga/retina/7189.vresize.36.36.medium.0.png,False,,,,La Liga
12,barcelona,BAR,11/3,AT,LEV,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/la-liga/retina/6166.vresize.36.36.medium.0.png,False,,,,La Liga
13,barcelona,BAR,11/5,VS,SLP,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/ucl/7499.vresize.36.36.medium.0.png,False,,,,UCL
14,barcelona,BAR,11/10,VS,CEL,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/la-liga/retina/6163.vresize.36.36.medium.0.png,False,,,,La Liga
15,manchester-city,MCI,8/31,VS,BHA,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engch/8257.vresize.36.36.medium.0.png,True,W,4,0,EPL
16,manchester-city,MCI,9/14,AT,NC,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engch/7132.vresize.36.36.medium.0.png,True,L,2,3,EPL
17,manchester-city,MCI,9/18,AT,DON,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/ucl/6457.vresize.36.36.medium.0.png,True,W,3,0,UCL
18,manchester-city,MCI,9/21,VS,WAT,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engch/6148.vresize.36.36.medium.0.png,True,W,8,0,EPL
19,manchester-city,MCI,9/24,AT,PNE,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engl1/8244.vresize.36.36.medium.0.png,True,W,3,0,Lg Cup
20,manchester-city,MCI,9/28,AT,EVE,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6149.vresize.36.36.medium.0.png,False,,,,EPL
21,manchester-city,MCI,10/1,VS,DZ,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/europa/7495.vresize.36.36.medium.0.png,False,,,,UCL
22,manchester-city,MCI,10/6,VS,WLV,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engch/7140.vresize.36.36.medium.0.png,False,,,,EPL
23,manchester-city,MCI,10/19,AT,CP,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/7131.vresize.36.36.medium.0.png,False,,,,EPL
24,manchester-city,MCI,10/22,VS,ATA,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/6389.vresize.36.36.medium.0.png,False,,,,UCL
25,manchester-city,MCI,10/26,VS,AV,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6144.vresize.36.36.medium.0.png,False,,,,EPL
26,manchester-city,MCI,11/2,VS,SHN,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/7128.vresize.36.36.medium.0.png,False,,,,EPL
27,manchester-city,MCI,11/6,AT,ATA,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/6389.vresize.36.36.medium.0.png,False,,,,UCL
28,manchester-city,MCI,11/10,AT,LIV,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6140.vresize.36.36.medium.0.png,False,,,,EPL
29,manchester-city,MCI,11/23,VS,CHE,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6159.vresize.36.36.medium.0.png,False,,,,EPL
30,juventus,JUV,8/31,VS,NAP,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/7151.vresize.36.36.medium.0.png,True,W,4,3,Serie A
31,juventus,JUV,9/14,AT,FIO,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/6390.vresize.36.36.medium.0.png,True,D,0,0,Serie A
32,juventus,JUV,9/18,AT,ATM,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/la-liga/retina/6172.vresize.36.36.medium.0.png,True,D,2,2,UCL
33,juventus,JUV,9/21,VS,VNA,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/7153.vresize.36.36.medium.0.png,True,W,2,1,Serie A
34,juventus,JUV,9/24,AT,BRE,https://b.fssta.com/uploads/application/bigboard/soccer/defaultTeamLogo.png,True,W,2,1,Serie A
35,juventus,JUV,9/28,VS,SPL,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/30743.vresize.36.36.medium.0.png,False,,,,Serie A
36,juventus,JUV,10/1,VS,LEV,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/6133.vresize.36.36.medium.0.png,False,,,,UCL
37,juventus,JUV,10/6,AT,INT,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/6391.vresize.36.36.medium.0.png,False,,,,Serie A
